;train_acc;train_loss;test_acc;test_loss;epoch
0;0.9553333333333334;0.1427965624909227;0.9882188498402555;0.03964781334077695;0.0
1;0.98345;0.05341177708953619;0.9888178913738019;0.03851577074426158;1.0
2;0.98725;0.04108090729614099;0.9873202875399361;0.035977539069017586;2.0
3;0.9891666666666666;0.03293911067793476;0.9906150159744409;0.02969955481511571;3.0
4;0.99055;0.028926215930412096;0.990714856230032;0.027586656137679764;4.0
5;0.9924166666666666;0.022771099382505537;0.9924121405750799;0.025122709637769778;5.0
6;0.9924666666666667;0.02218794043454691;0.9940095846645367;0.019117785621350046;6.0
7;0.9942833333333333;0.018043851568706547;0.9937100638977636;0.020315658101595725;7.0
8;0.9950333333333333;0.016249970069882755;0.9928115015974441;0.022697850947053212;8.0
9;0.9949166666666667;0.01575392594453324;0.9932108626198083;0.0199287885650443;9.0
